Client,Description,Date,Numero-de-classement
AFRICASHOP,DE 1/1,31/12/2016,7089
ALS,DE REVUE LIMITEE AU 30/06/2016 1/3,31/12/2016,7090
ALS,DE REVUE LIMITEE AU 30/06/2016 2/3,31/12/2016,7091
ALS,DE REVUE LIMITEE AU 30/06/2016 3/3,31/12/2016,7092
AMREF,DE 1/1,31/12/2016,7093
ANTRAK,DE INTERIM & FINAL 1/1,31/12/2016,7094
SEREP,DE INTERIM & FINAL 1/2,31/12/2016,1918
ANTRAK SENEGAL,FINAL 1/1,31/12/2016,7095
ATLAS COPCO,DE 1/1,31/12/2016,7096
ATOS,DE PREFINAL / FINAL 1/2,31/12/2016,7097
BSIC SENEGAL SA,DE 58EME SESSION DU CA ,2016,7098
BSIC,DE FINAL 1/1,31/12/2016,7099
BICIS,DE FINAL 1/2,31/12/2016,7100
BICIS,DE FINAL 2/2,31/12/2016,7101
BICIS,DE PREFINAL 1/1,31/10/2016,7102
BTL,DE PREFINAL & FINAL 1/3,31/12/2016,7103
BTL,DE PREFINAL & FINAL 2/3,31/12/2016,7104
BTL,DE PREFINAL & FINAL 3/3,31/12/2016,7105
BTL,DE FINAL 1/4,31/12/2016,7106
BTL,DE FINAL 2/4,31/12/2016,7107
BTL,DE FINAL 3/4,31/12/2016,7108
BTL,DE FINAL 4/4,31/12/2016,7109
BULL,DE 1/1,31/12/2016,7110
BULL,DE,2016,7111
CBAO,DE CA COMPTE D'AUDIT ET DES COMPTES DU 01 FEVRIER,2016,7112
CBAO,DE CA DU 08 FEVRIER (CABINET DELOITTE),2016,7113
CBAO,DE COMITE D'AUDIT ET DES COMPTES,JUILLET 2016,7114
CBAO,DE CONSEIL D'ADMINISTRATION DU 12 OCTOBRE CABINET DELOITTE,2016,7115
CBAO,DE REVUE LIMITEE AU JUIN 1,2016,7116
CBAO,DE INTERIM & PREFINAL 1/2,31/12/2016,7117
CBAO,DE SUIVI COBA 1/1,31/12/2016,7118
CBAO,DE FINAL 1/3,31/12/2016,7119
CBAO,DE FINAL 2/3,31/12/2016,7120
CBAO,DE FINAL 3/3,31/12/2016,7121
CFAO,DE,2016,7122
CFAO MOTORS,DE PREFINAL 1/1,31/12/2016,7123
CFAO MOTORS,DE FINAL 1/2,31/12/2016,7124
CFAO MOTORS,DE INTERIM 1/2,31/12/2016,7125
CFAO MOTORS,DE INTERIM 2/2,31/12/2016,7126
CFAO MOTORS,DE INTERIM 3/3,31/12/2016,7127
CFAO MOTORS,DE FINAL 2/2,31/12/2016,7128
CFAO EQUIPEMENT,DE INTERIM ,31/12/2016,7129
CFAO EQUIPEMENT,DE PREFINAL 1/1,31/12/2016,7130
CFAO EQUIPEMENT,DE 1/2,31/12/2016,7131
CFAO EQUIPEMENT,DE FINAL 2/2,31/12/2016,7132
CFAO TECHNO,DE 2/2,31/12/2016,7133
CFAO TECHNOLOGIE,DE INTERIM 1,31/12/2016,7134
CFAO TECHNOLOGIE,DE PREFINAL 1/1,31/12/2016,7135
CFAO MOTORS,DE PROCEDURES CONVENUES FINAL 1/2,31/12/2016,7136
CFAO MOTORS,DE PROCEDURES CONVENUES FINAL 2/2,31/12/2016,7137
DELOITTE, DE CONTROLE QUALITE - APPENDIX C2 2016 1/1,09/2016,7138
CREDIT INTERNATIONAL,DE FINAL 1/2,31/12/2016,7139
CES,DE FINAL 1/2,31/12/2016,7140
CES,DE FINAL 2/2,31/12/2016,7141
CES,DE AUGMENTATION DE CAPITAL 1/3,31/12/2016,7142
CMEC,DE 1/1,31/12/2016,7143
DAKAR KATERING,DE FINAL 1/1,31/12/2016,7144
DAKAR KATERING,DE INTERIM & FINAL 1/2,31/12/2016,7145
DAKAR TERMINAL,DE FINAL 1/1,31/12/2016,7146
DAKAR TERMINAL,DE INTERIM & PREFINAL 1/2,31/12/2016,7147
DAKAR TERMINAL,DE INTERIM & PREFINAL 2/2,31/12/2016,7148
DANGOTE,DE 1/2,31/12/2016,7149
DANGOTE,DE 2/2,31/12/2016,7150
DANGOTE,DE AUGMENTATION DU CAPITAL,2016,7151
DANGOTE,DE ITIE 1,2015 & 2016,7152
DKT,DE 1/1,31/12/2016,7153
EL MASA SENEGAL,DE 1/1,31/12/2016,7154
ELOGEN,DE,31/12/2016,7155
ELOGEN,DE CAC 2016 1/1,31/12/2016,7156
GCO,DE,31/12/2016,7157
GCO,DE,31/12/2016,7158
GCO,DE ITIE 2015 ET 2016,31/12/2016,7159
GCO,DE REC COPIES AUDITEURS 12/16,2016,7160
GCO,DE,NOV 2016,7161
HAVAS MEDIA SENEGAL,DE FINAL 1/1,31/12/2016,7162
IKAGEL,DE 1/2,31/12/2016,7163
IKAGELD,DE 3,31/12/2016,7164
KWF KOULIKORO,DE MISSION DU 31 MARS 2016 1/1,31/12/2016,7165
KWF SIKASSO,DE MISSION DU 31 MARS 2016 1/1,31/12/2016,7166
KTM ADVANCE,DE INTERIM & FINAL 1/1,31/12/2016,7167
LASA,DE 1/3,31/12/2016,7168
LASA,DE 2/3,31/12/2016,7169
LASA,DE 3/3,31/12/2016,7170
LDC,DE INTERIM PREFINAL 1/1,31/12/2016,7171
