Client,Description,Date,Numero-de-classement
VINCI ENERGIES,DE FINAL 1/1,31/12/2016,7256
WAF,DE FINAL 1/1,31/12/2016,7257
WAFA ASSURANCE NON VIE,DE 1/1,31/12/2016,7258
WAFA CASH,DE FINAL 1/1,31/12/2016,7259
WAFA ASSURANCE,DE FINAL 1/1,31/12/2016,7260
ARENA SENEGAL,DE 1/1,31/12/2017,7261
AFRICA SHOP,DE FINAL 1/1,31/12/2017,7262
ADP,DE FINAL 1/1,31/12/2017,7263
ADDOHA SENEGAL,DE PREFINAL & FINAL 1/2,31/12/2017,7264
AMREF,DE 1/1,31/12/2017,7265
ANTRAK,DE 1/1,31/12/2017,7266
ATOS,DE INTERIM & FINAL 1/1,31/12/2017,7267
BICIS,DE 1/1,31/12/2017,7268
BOLLORE,DE RAPPORTS CAC FINAL 1,31/12/2017,7269
BOLLORE TRANSIT LIGISTICSX 1/1,31/12/2017,7270,n
BOLLORE,DE FINAL 1/2,31/12/2017,7271
BSIC,DE CA 61EME SESSION,2017,7272
BTLS,DE REVUE LIMITEE LIASSE CONSOLIDATION 1/1,30/06/2017,7273
BTLS,DE 1/2,30/06/2017,7274
BTLS,DE 2/2,30/06/2017,7275
BULL,DE 1/1,31/12/2017,7276
CANAL PLUS,DE 1/1,31/05/2017,7277
CANAL PLUS SENEGAL,DE INTERIM - PREFINAL & FINAL 1/2,31/12/2017,7278
CANAL + MALI,DE 1/1,31/12/2017,7279
CANAL + SENEGAL,DE FINAL 2/2,31/12/2017,7280
CBAO,DE COMITE D'AUDIT ET DES COMPTES,2017,7281
CFAO EQUIPEMENT,DE REVUE LIMITEE 1,31/05/2017,7282
CFAO MOTORS,DE 1/1,31/12/2017,7283
CFAO MOTORS,DE 1/2,31/03/2017,7284
CFAO SENEGAL,DE FINAL 2/2,31/12/2017,7285
CFLA TECHNOLOGIE,DE 1/1,31/12/2017,7286
CES,DE PREFINAL & FINAL 1/1,31/12/2017,7287
CMEC,DE FINAL 1/1,31/12/2017,7288
CREDIT INTERNATIONAL,DE INTERIM & FINAL 2/2,7289,n
CREDIT INTERNATIONAL,DE INTERIM & FINAL 1/2,7290,n
DAKAR CATERING,DE 1/1,31/12/2017,7291
DAKAR CATERING,DE RAPPORTS 1,31/12/2017,7292
DANGOTE,DE 1/1,31/12/2017,7293
DAKAR TERMINAL,DE 1/2,31/12/2017,7294
DKT INTERNATIONAL,DE FINAL 1,31/12/2017,7295
ECOBANK GB,DE VS 1,31/12/2017,7296
ECOBANK GB,DE 1,31/12/2017,7297
ELMASA,DE INTERIM & FINAL 1/1,31/12/2017,7298
FAR,DE FINAL 1/2,31/12/2017,7299
GCO,DE 1/1,31/12/2017,7300
GRANDE COTE OPERATION,DE 1/1,31/12/2017,7301
HAVAS MEDIA SENEGAL,DE 1/1,31/12/2017,7302
IKAGEL,DE INTERIM & PREFINAL 1/2,31/12/2017,7303
KFW KOULIKORO,DE 1/1,31/05/2017,7304
KTM ADVANCE,DE 1/1,31/12/2017-31/12/2017,7305
LABOREX,DE INTERIM & PRE FINAL,31/12/2017,7306
LABOREX,DE FINAL 1/2,31/12/2017,7307
LASA,DE FINAL 1/1,31/12/2017,7308
LDC,DE INTERIM & PREFINAL 1/1,31/12/2017,7309
LOXEA,DE INTERIM & PREFINAL 1/1,31/12/2017,7310
MACROFERTILE,DE 1/1,30/06/2017,7311
MACROFERTILE,DE 1/1,31/12/2017,7312
MAERSK LINE,DE 1/1,2017,7313
MICROSOFT,DE FINAL 1/1,31/12/2017,7214
MILVIK,DE 1/1,31/12/2017,7315
MILVIK,DE INTERIM & FINAL 1/1,31/12/2017,7316
MILVIK,DE 1/1,31/05/2017 - 31/12/2017,7317
MTOA,DE 1/1,31/12/2017,7318
MOTORS,DE 1,31/05/2017,7319
MSC,DE 1/1,31/12/2017,7320
NEUROTECH,DE 1/1,31/12/2017,7321
OMA LOGISTICS SENEGAL,DE 1/1,31/12/2016 - 31/12/2017,7322
ORYX GAMBIE,DE 1/1,31/1/2017,7323
ORYX MALI,DE INTERIM & PREFINAL 1/1,31/12/2017,7324
ORYX SENEGAL,DE INTERIM & PREFINAL 1/1,30/09/2017 - 31/12/2017,7325
ORYX SENEGAL,DE FINAL 1/1,31/12/2017,7326
PHILIA SENEGAL,DE 1/1,31/12/2017,7327
PREMIUM SENEGAL,DE FINAL 1/1,31/12/2017,7328
SAIF MANKO,DE FINAL 1/1,31/12/2017,7329
SAII,DE 1/1,31/12/2017,7330
SCL,DE INTERIM & PREFINAL 1/2,31/12/2017,7331
SEMCA,DE 1/1,31/12/2017,7332
SENDISO,DE FINAL 1,31/12/2017,7333
SENDISO,DE REVUE LIMITEE 1,30/06/2017,7334
SENEGAL TOURS,DE,2017,7335
SENEGIM,DE FINAL 1,31/12/2017,7336
SENEGAL TOURS,DE 1/1,31/10/2017,7337
SEREP,DE 1/1,31/12/2017,7338
SGBS,DE CA,20/06/2017,7339
SGBS,DE 1/1,31/12/2017,7340
